Abbreviation;Discipline;Sport;Season;Olympic Status?
IH3;3-on-3 Ice Hockey;Ice Hockey;Winter;FALSE
BK3;3x3 Basketball;Basketball;Summer;TRUE
GAC;Acrobatic Gymnastics;Gymnastics;Summer;FALSE
AER;Aeronautics;Air Sports;Summer;TRUE
ALP;Alpine Skiing;Skiing;Winter;TRUE
APN;Alpinism;Mountaineering and Climbing;Summer;TRUE
USF;American Football;American Football;Summer;FALSE
AAR;Ancient Art Competitions;Ancient Sports;Summer;FALSE
AAT;Ancient Athletics;Ancient Sports;Summer;FALSE
ACB;Ancient Combative Sports;Ancient Sports;Summer;FALSE
AEQ;Ancient Equestrianism;Ancient Sports;Summer;FALSE
ARC;Archery;Archery;Summer;TRUE
ART;Art Competitions;Art Competitions;Summer;TRUE
GAR;Artistic Gymnastics;Gymnastics;Summer;TRUE
SWA;Artistic Swimming;Aquatics;Summer;TRUE
ATH;Athletics;Athletics;Summer;TRUE
ARF;Australian Rules Football;Australian Rules Football;Summer;FALSE
AUT;Automobile Racing;Automobile Sports;Summer;FALSE
BDM;Badminton;Badminton;Summer;TRUE
BLN;Ballooning;Air Sports;Summer;FALSE
BDY;Bandy;Bandy;Winter;FALSE
BBL;Baseball;Baseball/Softball;Summer;TRUE
BKB;Basketball;Basketball;Summer;TRUE
PEL;Basque pelota;Basque pelota;Summer;TRUE
BHA;Beach Handball;Handball;Summer;FALSE
VBV;Beach Volleyball;Volleyball;Summer;TRUE
BTH;Biathlon;Biathlon;Winter;TRUE
BPO;Bicycle Polo;Cycling;Summer;FALSE
BOB;Bobsleigh;Bobsleigh;Winter;TRUE
BOU;Boules;Boules;Summer;FALSE
BWL;Bowling;Bowling;Summer;FALSE
BOX;Boxing;Boxing;Summer;TRUE
BKG;Breaking;Dance;Summer;FALSE
CNN;Canne De Combat;Savate;Summer;FALSE
CMA;Canoe Marathon;Canoeing;Summer;TRUE
CSL;Canoe Slalom;Canoeing;Summer;TRUE
CSP;Canoe Sprint;Canoeing;Summer;TRUE
CKT;Cricket;Cricket;Summer;TRUE
CQT;Croquet;Croquet;Summer;TRUE
CCS;Cross Country Skiing;Skiing;Winter;TRUE
CUR;Curling;Curling;Winter;TRUE
BMF;Cycling BMX Freestyle;Cycling;Summer;TRUE
BMX;Cycling BMX Racing;Cycling;Summer;TRUE
MTB;Cycling Mountain Bike;Cycling;Summer;TRUE
CRD;Cycling Road;Cycling;Summer;TRUE
CTR;Cycling Track;Cycling;Summer;TRUE
DIV;Diving;Aquatics;Summer;TRUE
DSR;Dogsled Racing;Dogsled Racing;Winter;FALSE
EDR;Equestrian Dressage;Equestrian;Summer;TRUE
EDV;Equestrian Driving;Equestrian;Summer;TRUE
EVE;Equestrian Eventing;Equestrian;Summer;TRUE
EJP;Equestrian Jumping;Equestrian;Summer;TRUE
EVL;Equestrian Vaulting;Equestrian;Summer;TRUE
FEN;Fencing;Fencing;Summer;TRUE
FSK;Figure Skating;Skating;Winter;TRUE
FFG;Firefighting;Firefighting;Summer;FALSE
FSH;Fishing;Fishing;Summer;FALSE
FBL;Football;Football;Summer;TRUE
FRS;Freestyle Skiing;Skiing;Winter;TRUE
FTS;Futsal;Football;Summer;FALSE
GFB;Gaelic Football;Gaelic Sports;Summer;FALSE
GLD;Gliding;Air Sports;Summer;FALSE
GLM;Glíma;Glíma;Summer;FALSE
GLF;Golf;Golf;Summer;TRUE
GTS;Gotland Sports;Gotland Sports;Summer;FALSE
HBL;Handball;Handball;Summer;TRUE
HOC;Hockey;Hockey;Summer;TRUE
HO5;Hockey 5s;Hockey;Summer;FALSE
HUR;Hurling;Gaelic Sports;Summer;FALSE
